Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Chen, Jiazhou; Zhu, Xinding; Even, Melvin; Basset, Jean; Bénard, Pierre; Barla, Pascal; ",Efficient Interpolation of Rough Line Drawings,Computer Graphics Forum,42,7,,2023,
"Even, Melvin; Bénard, Pierre; Barla, Pascal; ",Non‐linear Rough 2D Animation using Transient Embeddings,Computer Graphics Forum,42,2,411-425,2023,
